id;CLM_FREQ; CLM_AMT_1 ; CLM_AMT_2 ; CLM_AMT_3 ; CLM_AMT_4 ; CLM_AMT_5 ; CLM_AMT_6 ; CLM_AMT_7 ;CAR_USE;CAR_TYPE;AGE;GENDER;AREA;PREMIUM
1;2; 372 ; 660 ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;60;M;Urban;961
2;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Sedan;43;M;Urban;775
3;1; 425 ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Van;48;M;Urban;866
4;1; 576 ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;35;F;Urban;999
5;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;51;M;Urban;992
6;1; 423 ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;50;F;Urban;517
7;1; 277 ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Sports Car;34;F;Urban;585
8;1; 447 ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;54;F;Urban;535
9;2; 255 ; 379 ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;40;M;Urban;926
10;3; 231 ; 343 ; 707 ; -   ; -   ; -   ; -   ;Commercial;SUV;44;F;Rural;788
11;3; 426 ; 553 ; 251 ; -   ; -   ; -   ; -   ;Commercial;Van;37;M;Urban;544
12;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;34;F;Urban;810
13;2; 382 ; 284 ; -   ; -   ; -   ; -   ; -   ;Commercial;Van;50;M;Rural;814
14;5; 293 ; 877 ; 773 ; 355 ; 342 ; -   ; -   ;Private;Sports Car;53;F;Urban;783
15;2; 609 ; 413 ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;43;F;Rural;624
16;1; 321 ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Van;55;M;Urban;988
17;2; 640 ; 612 ; -   ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;53;M;Urban;848
18;2; 1 008 ; 535 ; -   ; -   ; -   ; -   ; -   ;Private;Pickup;35;M;Rural;955
19;4; 556 ; 396 ; 403 ; 475 ; -   ; -   ; -   ;Private;SUV;45;F;Urban;706
